DOI,Tortured Phrases,filename
10.1109/iccmc51019.2021.9418051,concealed layer • counterfeit neural • fluffy rationale • gatherings clustering~10 • hereditary calculation • highlight extraction • keen matrix • preparation information • profound neural organization • profound neural system • profound learning AND deep learning,iccmc51019.2021.9418051.pdf
10.1109/iceca52323.2021.9676104,blunder rate • condition of-craftsmanship • crude information • discrete cosine change • facial highlights • feeling acknowledgment • head part examination • man-made consciousness • misfortune layer • pre-handling • preparation information • profound convolutional • profound learning AND deep learning,iceca52323.2021.9676104.pdf
10.1109/icacccn.2018.8748454,Wavelet change • bolster vector machine • choice tree • convolutional neural system • help vector machine • likelihood appropriation • profound convolutional • shrouded Markov,icacccn.2018.8748454.pdf
10.1109/icears53579.2022.9751876,bogus up-sides • decent contender • dimensionality decrease • head part examination • highlight extraction • preparation information • profound learning AND deep learning,icears53579.2022.9751876.pdf
10.1109/icears53579.2022.9752228,crude information • decidedly charged • direct relapse • disarray network • fake neural • intermittent neural organizations • long momentary memory • mean outright blunder • profound convolutional • profound neural organization • speculation execution • straight relapse • profound learning AND deep learning,icears53579.2022.9752228.pdf
10.1109/iciccs53718.2022.9788294,choice emotionally supportive • enactment work • highlight extraction • pre-handling • profound convolutional • profound model • secret layer • back spread AND neural • yield layer AND neural • profound learning AND deep learning • back proliferation AND neural,iciccs53718.2022.9788294.pdf
10.1109/icais50930.2021.9395788,Wavelet change • bosom disease • bosom malignancy • bosom malignant • choice tree • exactness accuracy~5 • fake neural • highlight extraction • man-made reasoning • maturing populace • pre-handling • profound learning AND deep learning,icais50930.2021.9395788.pdf
10.1109/icaccs51430.2021.9441826,concealed layer • dimensionality decrease • direct blend • discourse acknowledgement OR discourse acknowledgment • discourse upgrade • penmanship acknowledgment • preparation information • shrouded layer • sigmoid capacity • yield layer AND neural • profound learning AND deep learning • picture acknowledgment AND image recognition,icaccs51430.2021.9441826.pdf
10.1109/icdse47409.2019.8971795,computerized reasoning • concealed layer • convolutional neural system • credulous Bayes • facial highlights • has turned out to be a standout • profound neural system • self sorting out • straight relapse • profound learning AND deep learning,icdse47409.2019.8971795.pdf
10.1109/inmic.2018.8595585,Fourier change • K-closest neighbors • discrete Fourier change • help vector machine • highlight extraction • highlights are extricated • irregular backwoods • neural organize • profound convolutional • sound flag • profound learning AND deep learning,inmic.2018.8595585.pdf
10.1109/icccis51004.2021.9397129,backslide model • bleakness mortality~5 • bunching clustering~20 • counterfeit neural • direct relapse • neural organize • profound organizations • shrouded layer • speculation capacity • vitality utilization • profound learning AND deep learning,icccis51004.2021.9397129.pdf
10.1109/infocomtech.2018.8722412,bolster vector machine • district of intrigue • evacuates the commotion • facial highlights • feeling recognition • genuine esteemed • square mistake • yield layer AND neural • profound learning AND deep learning,infocomtech.2018.8722412.pdf
10.1109/iccmc48092.2020.iccmc-00085,as pursues • calculated relapse • concealed layer • preparation dataset • preparation information • strategic relapse • yield layer AND neural • profound learning AND deep learning,iccmc48092.2020.iccmc-00085.pdf
10.1109/icac3n53548.2021.9725554,arbitrary backwoods • counterfeit neural • crude information • direct relapse • irregular backwoods • irregular woodland • preparation information • prescient capacity • principal part investigation • profound neural organization • straight relapse,icac3n53548.2021.9725554.pdf
10.1109/i-pact52855.2021.9696587,affectability and particularity • attractive reverberation • bosom disease • bosom malignant • figured tomography • morphological administrator • quick Fourier transform • squared mistake • profound learning AND deep learning,i-pact52855.2021.9696587.pdf
10.1109/smart52563.2021.9676235,Gaussian appropriations • counterfeit neural • gadget gaining knowledge • genuine esteemed • getting to know algorithm • help vector machine • innocent Bayes • manufactured neural • preparation dataset • straight relapse • strategic relapse,smart52563.2021.9676235.pdf
10.1109/i-smac52330.2021.9640684,customary strategies • extricated highlights • secret layer • stowed away layers • yield layer AND neural • profound learning AND deep learning,i-smac52330.2021.9640684.pdf
10.1109/icesc51422.2021.9532919,approval misfortune • bogus negative FN~5 • bogus positive FP~5 • bosom tumor • counterfeit neural • cutting-edge execution • exactness accuracy~5 • genuine negative TN~5 • genuine positive TP~5 • highlight extraction • prescient model • wavelet highlights • profound learning AND deep learning,icesc51422.2021.9532919.pdf
10.1109/icicict46008.2019.8993143,blunder rate • content-to-discourse • discourse acknowledgement OR discourse acknowledgment • fake neural • long momentary memory • profound model • profound neural system • shrouded neuron • profound learning AND deep learning,icicict46008.2019.8993143.pdf
10.1109/icosec49089.2020.9215444,administered AI • arbitrary woodland • arbitrary woods • choice tree • dimensionality decrease • irregular timberland • man-made brainpower • preparation dataset • preparation information • prescient framework • prescient model • random woodland,icosec49089.2020.9215444.pdf
10.1109/icesc48915.2020.9155948,acknowledgment of feeling • bolster vector machine • computerized reasoning • convolution neural system • discourse signal • facial highlights • feeling acknowledgment • feeling recognition • high-exactness • imbalance range issues • pre-preparing • profound learning AND deep learning,icesc48915.2020.9155948.pdf
10.1109/iciccs51141.2021.9432199,K-closest neighbors • chest torment • choice emotionally supportive • choice tree • gullible Bayesian • high-exactness • information digging • pre-preparing • sound individuals • uphold vector machine,iciccs51141.2021.9432199.pdf
10.1109/icac3n53548.2021.9725735,K-closest neighbors • affiliation rule mining • coronary illness • gullible Bayes • heart assault • irregular backwoods • irregular timberland • k-implies grouping • preparation information • secret layer • straight relapse • back engendering AND neural,icac3n53548.2021.9725735.pdf
10.1109/iccmc.2019.8819633,keen gadget • keen matrix • man in the center • pre-handling • vitality utilization • brilliant AND keen AND savvy AND shrewd,iccmc.2019.8819633.pdf
10.1109/access.2019.2935220,as pursues • exactness accuracy~5,access.2019.2935220.pdf
10.1109/iceest48626.2019.8981681,bunching clustering~20 • bunching strategies • hereditary calculation • highlight extraction • k-implies clustering • k-implies grouping • mind tumor • pre-handling • pre-preparing,iceest48626.2019.8981681.pdf
10.1109/i-pact44901.2019.8960085,concealed layer • convolutional neural system • feeling acknowledgment • help vector machine • highlight extraction • highlight portrayal • man-made brainpower • pre-handling • pre-preparing • yield layer AND neural • profound learning AND deep learning,i-pact44901.2019.8960085.pdf
10.1109/i-smac49090.2020.9243325,affiliation rule mining • convolution neural system • convolutional neural system • covariance lattice • dimensionality decrease • highlight extraction • irregular strolls • man-made brainpower • pre-handling • preparing database • softmax misfortune,i-smac49090.2020.9243325.pdf
10.1109/icict50816.2021.9358537,an expanding pattern • backslide model • choice tree • crude information • dimensionality decrease • direct relapse • highlight extraction • mean outright blunder • pre-handling • prescient model • straight relapse,icict50816.2021.9358537.pdf
10.1109/iccmc48092.2020.iccmc-000137,convolution neural system • convolutional neural system • fluffy rationale • highlight extraction • irregular timberland • preparation dataset • profound learning AND deep learning • preparing information AND (training set OR training dataset),iccmc48092.2020.iccmc-000137.pdf
10.1109/icssit48917.2020.9214155,area of enthusiasm • as pursues • computerized reasoning • convolutional neural system • keen gadget • optical character acknowledgment • shrewd home • brilliant AND keen AND savvy AND shrewd,icssit48917.2020.9214155.pdf
10.1109/iconat53423.2022.9726013,bogus negative FN~5 • bogus positive FP~5 • condition of-craftsmanship • facial highlights • genuine negative TN~5 • genuine positive TP~5 • pre-handling • principal part investigation • picture highlights AND image features,iconat53423.2022.9726013.pdf
10.1109/cises54857.2022.9844409,backing vector machine • choice tree • discourse acknowledgement OR discourse acknowledgment • man-made consciousness • profound neural organization • secret layer • self sorting out • stowed away layers • back proliferation AND neural • picture arrangement AND image classification • picture acknowledgment AND image recognition,cises54857.2022.9844409.pdf
10.1109/iciccs53718.2022.9788204,blunder rate • counterfeit neural • facial acknowledgement OR facial acknowledgment • inclination plummet • preparation information • profound organizations • relapse tree • secret layer • teachable boundaries • move learning AND transfer learning • profound learning AND deep learning,iciccs53718.2022.9788204.pdf
10.1109/icoei53556.2022.9776796,fake neural • foetus removal • man-made brainpower • man-made consciousness • man-made reasoning • secret layer • stowed away layers • yield layer AND neural • profound learning AND deep learning,icoei53556.2022.9776796.pdf
10.1109/iceeict53079.2022.9768591,bosom malignancy • bosom malignant • coronary illness • exactness accuracy~5 • gullible Bayes • high-exactness • highlight extraction • p esteem • preparation information,iceeict53079.2022.9768591.pdf
10.1109/iceeict53079.2022.9768561,choice tree • hereditary calculation • irregular walks • irregular woodland • monetary misfortunes • preparation dataset • profound organizations • secret Markov • straight relapse,iceeict53079.2022.9768561.pdf
10.1109/icais53314.2022.9742999,crude information • dimensionality decrease • exactness accuracy~5 • hereditary calculation • man-made reasoning • plant ailments • preparation and approval sets • preparation dataset • preparation information • prescient model • profound learning AND deep learning,icais53314.2022.9742999.pdf
10.1109/icatme50232.2021.9732730,flexibly chain • keen gadget • keen home • shrewd gadget • shrewd home • brilliant AND keen AND savvy AND shrewd,icatme50232.2021.9732730.pdf
10.1109/icatme50232.2021.9732725,counterfeit neural • customary strategies • discrete cosine change • exactness and review • fluffy rationale • foundation clamor • high-exactness • profound convolutional • profound organizations,icatme50232.2021.9732725.pdf
10.1109/smartgencon51891.2021.9645857,approval dataset • highlight extraction • pre-preparing • preparation dataset • profound neural organization • move learning AND transfer learning,smartgencon51891.2021.9645857.pdf
10.1109/icscan49426.2020.9262300,leftover vitality • recurrence band • remaining vitality • steering convention • vitality effective • vitality productivity • vitality utilization • warm conductivity,icscan49426.2020.9262300.pdf
10.1109/icacce46606.2019.9079991,K-closest neighbors • credulous Bayesian • crude information • fluffy set • gatherings clustering~10 • hereditary calculation • k-implies calculation • nonstop checking • prescient model,icacce46606.2019.9079991.pdf
10.1109/icicict46008.2019.8993345,convolutional neural system • customary strategies • highlight extraction • intra and bury • locale of enthusiasm • locale of intrigue • outwardly debilitated • pre-handling • profound learning AND deep learning,icicict46008.2019.8993345.pdf
10.1109/cesys.2017.8321222,inquiry dialect • summon line • social database AND SQL,cesys.2017.8321222.pdf
