All Tips,Altmetric,Assessor,Citations,DOI,Detector,Doctype,PubPeer Users,Publisher,Title,Tortured Phrases,Venue,Year
15,0,Invitation for human assessors,4,10.1109/iccmc51019.2021.9418051,"suspect, tortured",proceeding,–,Institute of Electrical and Electronics Engineers (IEEE),A Convenient Machine Learning Model for Cyber Security,concealed layer • counterfeit neural • fluffy rationale • gatherings clustering~10 • hereditary calculation • highlight extraction • keen matrix • preparation information • profound neural organization • profound neural system • profound learning AND deep learning,2021 5th International Conference on Computing Methodologies and Communication (ICCMC),2021
15,0,Invitation for human assessors,1,10.1109/iceca52323.2021.9676104,"suspect, tortured",proceeding,–,Institute of Electrical and Electronics Engineers (IEEE),IMPROVED FACE RECOGNITION USING CONVOLUTIONAL NEURAL NETWORK WITH UNAIDED LEARNING,blunder rate • condition of-craftsmanship • crude information • discrete cosine change • facial highlights • feeling acknowledgment • head part examination • man-made consciousness • misfortune layer • pre-handling • preparation information • profound convolutional • profound learning AND deep learning,"2021 5th International Conference on Electronics, Communication and Aerospace Technology (ICECA)",2021
15,0,Invitation for human assessors,1,10.1109/icacccn.2018.8748454,"suspect, tortured",proceeding,–,Institute of Electrical and Electronics Engineers (IEEE),An Overview of Anomaly Detection in Video Surveillance,Wavelet change • bolster vector machine • choice tree • convolutional neural system • help vector machine • likelihood appropriation • profound convolutional • shrouded Markov,"2018 International Conference on Advances in Computing, Communication Control and Networking (ICACCCN)",2018
15,0,Invitation for human assessors,0,10.1109/icears53579.2022.9751876,"suspect, tortured",proceeding,–,Institute of Electrical and Electronics Engineers (IEEE),Anomaly Identification Performed Independently in Explanatory Machine using Log-based Method,bogus up-sides • decent contender • dimensionality decrease • head part examination • highlight extraction • preparation information • profound learning AND deep learning,2022 International Conference on Electronics and Renewable Systems (ICEARS),2022
15,0,Invitation for human assessors,0,10.1109/icears53579.2022.9752228,"suspect, tortured",proceeding,–,Institute of Electrical and Electronics Engineers (IEEE),AI in Terpenes Categorization using: GC and MS Cycles,crude information • decidedly charged • direct relapse • disarray network • fake neural • intermittent neural organizations • long momentary memory • mean outright blunder • profound convolutional • profound neural organization • speculation execution • straight relapse • profound learning AND deep learning,2022 International Conference on Electronics and Renewable Systems (ICEARS),2022
14,0,Invitation for human assessors,0,10.1109/iciccs53718.2022.9788294,"suspect, tortured",proceeding,–,Institute of Electrical and Electronics Engineers (IEEE),Detection and Classification of Dental Defect using CNN,choice emotionally supportive • enactment work • highlight extraction • pre-handling • profound convolutional • profound model • secret layer • back spread AND neural • yield layer AND neural • profound learning AND deep learning • back proliferation AND neural,2022 6th International Conference on Intelligent Computing and Control Systems (ICICCS),2022
14,0,Invitation for human assessors,0,10.1109/icais50930.2021.9395788,"suspect, tortured",proceeding,–,Institute of Electrical and Electronics Engineers (IEEE),Breast Cancer Detection-Based Feature Optimization Using Firefly Algorithm and Ensemble Classifier,Wavelet change • bosom disease • bosom malignancy • bosom malignant • choice tree • exactness accuracy~5 • fake neural • highlight extraction • man-made reasoning • maturing populace • pre-handling • profound learning AND deep learning,2021 International Conference on Artificial Intelligence and Smart Systems (ICAIS),2021
14,0,Invitation for human assessors,0,10.1109/icaccs51430.2021.9441826,"suspect, tortured",proceeding,–,Institute of Electrical and Electronics Engineers (IEEE),A Review on Deep Neural Network Design and Their Applications,concealed layer • dimensionality decrease • direct blend • discourse acknowledgement OR discourse acknowledgment • discourse upgrade • penmanship acknowledgment • preparation information • shrouded layer • sigmoid capacity • yield layer AND neural • profound learning AND deep learning • picture acknowledgment AND image recognition,2021 7th International Conference on Advanced Computing and Communication Systems (ICACCS),2021
13,0,Invitation for human assessors,8,10.1109/icdse47409.2019.8971795,"suspect, tortured",proceeding,–,Institute of Electrical and Electronics Engineers (IEEE),Generative model chatbot for Human Resource using Deep Learning,computerized reasoning • concealed layer • convolutional neural system • credulous Bayes • facial highlights • has turned out to be a standout • profound neural system • self sorting out • straight relapse • profound learning AND deep learning,2019 International Conference on Data Science and Engineering (ICDSE),2019
13,0,Invitation for human assessors,5,10.1109/inmic.2018.8595585,"suspect, tortured",proceeding,–,Institute of Electrical and Electronics Engineers (IEEE),A Systematic Review on Vehicle Identification and Classification Techniques,Fourier change • K-closest neighbors • discrete Fourier change • help vector machine • highlight extraction • highlights are extricated • irregular backwoods • neural organize • profound convolutional • sound flag • profound learning AND deep learning,2018 IEEE 21st International Multi-Topic Conference (INMIC),2018
